Номенклатура,Артикул,Группа,Стоимость,Прибыль,Предмет,Оборот в месяц,Цена остатка,Рентабельность,Базовая,Акция -8,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Акция -15,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Новая рентабельность,Продажи,Продажи за вчера,Тренд,Прибыль 2021,Дней в продаже,Цена остатка на стоках,Склад WB,FBS,Ожидание,Мойсклад,Оборачиваемость,Закончится через,Оборачиваемость склада,Обор посл день (весь),Обор посл день ВБ,Дней на сайте,Себес,Комиссия,Логистика ВБ,Литраж,Логистика литраж,Логистика мпстатс,Прибыль с партии,Прибыль с партии нов,Прибыль в мес,Новая прибыль,Изменение цены на...,Новая цена,Новая базовая,Прибыль новая,Новая комиссия,Упаковка,Платная приемка,Офис,Хранение в мес,Налог 1.5% + расход на рекламу 2.5%,% брака
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
63888659,parnik_agronom65_7,Неликвид/Весна - лето / Неликвид,1330,-245,Парники,0,0,-18%,1900,0,-1331,,-18%,0,-1331,,0%,-18%,0.0,0,0.0,0,0,0,0,0,0,0,0,,999,999,999,393,788,266,88,39,326,297,0,0,0,0,,1330,1900,-245,266,44,150,30,21,53,47
46135320,drenazh5_10_20,Неликвид,561,-211,Дренажи,23394,18673,-38%,801,284,-278,-101%,63%,296,-266,-93%,-8%,-38%,1.4,1,0.5,379,30,18673,51,0,0,0,37,37,37,76,76,153,366,95,88,22,201,159,-10754,-10754,-8793,-8793,,561,801,-211,95,22,45,30,13,22,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
28354916,bordoskaya_zhidkost500,Неликвид/Весна - лето / Неликвид,799,69,Средства защиты растений,1438,8680,9%,1142,673,-127,1%,8%,662,-138,-1%,2%,9%,0.1,1,11.2,17366,30,8680,23,0,0,0,383,383,383,34,34,57,377,136,88,0,80,73,1597,1597,125,125,,799,1142,69,136,47,39,30,5,32,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
26987811,shpulki20_24N,Неликвид,299,-23,Шпульки для швейных машин,0,331,-8%,427,0,-300,,-8%,0,-300,,0%,-8%,0.0,0,0.0,888,0,0,0,0,0,3,0,,999,999,999,84,110,51,88,0,80,73,-68,-68,0,0,,299,427,-23,51,28,45,30,5,12,7
15633815,konus17,Неликвид/Весна - лето / Неликвид,361,63,Сажалки,0,2407,17%,481,307,-55,23%,-5%,298,-64,21%,2%,17%,0.0,0,0.0,12255,30,2407,34,0,0,0,0,,999,999,999,42,71,72,88,0,80,73,2138,2138,0,0,,361,481,63,72,22,39,30,5,14,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
38414901,cilindr100,Неликвид,458,17,Мерные стаканы,53586,13724,4%,654,320,-139,-17%,21%,294,-165,-27%,10%,4%,3.9,3,0.8,58289,30,13412,86,0,0,2,22,23,23,29,29,145,156,87,88,0,80,681,1480,1480,1968,1968,,458,654,17,87,56,39,30,5,18,9
34984031,vodyanshar222,Неликвид/Весна - лето / Неликвид,302,-49,Воздушные шарики,21653,15207,-16%,431,285,-18,1%,-17%,258,-45,-8%,10%,-16%,2.4,5,2.2,27541,30,1507,11,0,0,100,5,46,46,21,2,72,137,51,88,1,80,80,-5391,-5391,-3482,-3482,,302,431,-49,51,28,39,30,5,12,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
34141459,kryshka_zoloto20,Актив/Осень / Сезонные,302,-20,Крышки для банок,2084,,-7%,432,254,-49,-1%,-6%,250,-53,-2%,1%,-7%,0.2,0,0.0,3102,0,#N/A,#N/A,0,0,0,0,,999,999,999,115,110,57,88,0,80,73,#N/A,#N/A,-139,-139,,302,432,-20,57,22,39,30,5,12,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
29371371,setka_goroh1x6,Неликвид/Весна - лето / Неликвид,316,-4,Сетки для защиты растений,13177,1300,-1%,451,139,-178,-73%,72%,144,-173,-67%,-6%,-1%,1.4,0,0.0,-5575,30,1300,13,0,0,0,9,9,9,999,999,72,100,54,88,1,80,83,-49,-49,-158,-158,,316,451,-4,54,33,45,30,5,13,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
18220370,derzhklub_d255chern,Неликвид,241,-62,Колышки садовые,3615,,-26%,370,0,-242,,-26%,0,-242,,0%,-26%,0.5,0,0.0,-46375,0,#N/A,#N/A,0,0,0,0,,999,999,999,82,87,48,88,1,80,73,#N/A,#N/A,-932,-932,,241,370,-62,48,39,45,30,5,10,5
13530015,setkazaten55_56,Неликвид/Весна - лето / Неликвид,2135,250,Сетки затеняющие,20496,99510,12%,3050,854,-1282,-82%,94%,854,-1282,-82%,0%,12%,0.3,0,0.0,202205,30,99510,107,0,0,0,334,334,334,999,999,153,930,363,88,36,305,277,26789,26789,2403,2403,,2135,3050,250,363,97,45,30,19,85,56
30269767,lentabordur02_10zel,Неликвид/Весна - лето / Неликвид,675,-31,Ленты бордюрные садовые,0,0,-5%,844,0,-676,,-5%,0,-676,,0%,-5%,0.0,0,0.0,8870,0,0,0,0,0,0,0,,999,999,999,96,364,135,88,4,80,73,0,0,0,0,,675,844,-31,135,44,45,30,5,27,22
36863029,sharlotta50fiol,Неликвид,300,2,Шапочки косметические,9000,,1%,429,0,-301,,1%,0,-301,,0%,1%,1.0,0,0.0,38974,0,#N/A,#N/A,0,0,0,0,,999,999,999,82,68,51,88,2,80,73,#N/A,#N/A,63,63,,300,429,2,51,48,39,30,5,12,4
17508560,podstavkashar13,Неликвид,395,-9,Подставки для воздушных шаров,47045,1481,-2%,608,0,-396,,-2%,316,-80,-6%,6%,-2%,4.0,1,0.3,376760,30,1481,11,0,0,0,3,3,3,8,8,72,135,67,88,3,80,75,-98,-98,-1060,-1060,,395,608,-9,67,64,39,30,5,16,8
34663410,setkazaten80_36,Неликвид/Весна - лето / Неликвид,1956,237,Сетки затеняющие,5868,41850,12%,2794,782,-1175,-78%,90%,810,-1147,-72%,-6%,12%,0.1,0,0.0,7794,30,41850,50,0,0,0,500,500,500,999,999,235,837,333,88,36,305,277,11862,11862,712,712,,1956,2794,237,333,67,45,30,19,78,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
27017162,dorozhka130x31N,Актив/Весна - Лето (март-октябрь),1360,241,Садовые дорожки,17136,65841,18%,1700,646,-715,-57%,74%,663,-698,-53%,-4%,18%,0.4,1,2.4,21047,30,65841,131,0,0,0,312,312,312,131,131,89,503,272,88,11,120,112,31555,31555,3035,3035,,1360,1700,241,272,102,120,30,7,54,30
28112919,drenazh5_10_10,Неликвид/Весна - лето / Неликвид,361,-207,Дренажи,0,0,-57%,516,0,-362,,-57%,0,-362,,0%,-57%,0.0,0,0.0,50061,0,0,0,0,0,0,0,,999,999,999,194,190,61,88,22,201,183,0,0,0,0,,361,516,-207,61,46,45,30,13,14,11
15075931,zagimroz,Неликвид,323,16,Держатели для простыни,30620,7829,5%,430,184,-140,-27%,32%,189,-135,-24%,-3%,5%,3.2,1,0.2,16356,30,7829,86,0,0,0,27,27,27,128,128,57,91,61,88,0,80,247,1357,1357,1496,1496,,323,430,16,61,22,39,30,5,13,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
12903234,zakatzmlp,Неликвид,266,-168,Машинки закаточные,5426,892,-63%,380,281,14,-32%,-31%,269,2,-38%,6%,-63%,0.7,0,0.0,-123,20,0,0,0,0,4,0,6,6,999,999,57,223,51,88,2,80,73,-672,-672,-3427,-3427,,266,380,-168,51,22,39,30,5,11,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
26989538,forma_saddorN,Неликвид,830,-71,Формы для облицовочного камня,28884,,-9%,1384,512,-319,-50%,42%,525,-306,-47%,-3%,-9%,1.2,0,0.3,40456,0,#N/A,#N/A,0,0,0,0,,999,999,999,115,387,166,88,15,152,128,#N/A,#N/A,-2487,-2487,,830,1384,-71,166,100,30,30,9,33,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
27012939,galkabel8-12_800N,Неликвид,393,68,Грунты для аквариумов и террариумов,34663,12282,17%,524,196,-198,-26%,43%,204,-190,-21%,-5%,17%,2.9,1,0.3,45556,30,12282,147,0,0,0,50,50,50,147,147,72,84,67,88,1,80,274,9978,9978,5987,5987,,393,524,68,67,40,30,30,5,16,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,88,,80,73,,,,,,,,,,,,,5,,
