Номенклатура,Артикул,Группа,Стоимость,Прибыль,Поставщик,Предмет,остатки через 10 дней,Цена остатка,Рентабельность,Траты на рекламу за вчера,ДРР,Базовая,БАЗА Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,-5 Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Новая рентабельность,АКЦИЯ выгоднее,Продажи,Продажи за вчера,Продажи за 3 дня,Тренд,Ср. 7 дней,Прибыль 2021,Дней в продаже,Цена остатка на стоках,Склад WB,FBS,Ожидание,Закуп,Озон МС,Мойсклад,Оборачиваемость,Заканчивается через,Оборачиваемость склада,Обор посл день (весь),Обор 3 дня (весь),Обор 3 дня,Обор посл день ВБ,Коледино,Дней на сайте,Себес,Комиссия,Логистика ВБ,Литраж,Логистика литраж,Логистика мпстатс,Прибыль с партии,Прибыль с партии нов,Прибыль в мес,Новая прибыль,Изменение цены на...,причина,Новая цена,Новая базовая,Прибыль новая,Новая комиссия,Упаковка,Админ расход,Хранение в мес,Налог и реклама,% брака,% брака МС,% выкупа,Цена товара + ожидание,Остаток МС,Остаток ВБ,Траты на рекламу за вчера,ДРР
166178525,perchatki_mochalkiV,Неликвид,260,56,"ООО ""ОПТСЕРВИС""",Мочалки,0,0,22%,0,,520,180,-81,-23%,45%,,-261,,22%,22%,0%,0.8,0,0,0,,0,0,0,0,20,0,,0,0,0,,0,999,0,0,999,0,82,64,44,0,2,63,22,0,0,1303,1303,,,260,520,56,44,24,0,8,0,0,0,98,0,0,0,0,0.00%
162701000,camera_smartV,Актив/Новинки,1042,74,,Камеры видеонаблюдения,12813,17345,7%,0,,2084,1003,-40,5%,3%,,-1043,,7%,7%,0%,0.3,0,1,0,,0,0,17345,31,0,0,,0,0,115,,111,999,31,31,999,31,22,560,104,0,2,68,3,2305,2305,602,602,,,1042,2084,74,104,39,90,8,97,3,3,89,17345,0,17345,0,0.00%
162221855,tolchino_merV,Неликвид,1158,98,"ООО ""ОПТСЕРВИС""",Толщиномеры ЛКП,0,8861,8%,0,,2316,1073,-86,-15%,24%,,-1159,,8%,8%,0%,0.4,0,0,0,,0,0,8861,11,0,0,,0,1,28,,29,999,36,33,999,11,82,738,220,0,,66,11,1179,1179,1179,1179,,,1158,2316,98,220,24,0,8,0,4,4,93,8861,738,8123,0,0.00%
162881475,korob_napitkaV,Неликвид,545,55,"ООО ""ОПТСЕРВИС""",Кувшины,3989,11683,10%,0,0%,1090,546,0,-8%,18%,521,-25,0,16%,10%,-16%,0.9,2,2,2,,0,0,11683,41,0,0,,0,0,46,,45,21,25,25,21,20,75,285,104,0,,68,23,2269,2269,1494,1494,,,545,1090,55,104,24,0,8,0,1,1,89,11683,0,11683,0,0.00%
161967013,vanna_karnizV,Неликвид,1054,210,"ООО ""ОПТСЕРВИС""",Карнизы для ванной,1852,98607,20%,0,0%,2108,,-1055,,20%,,-1055,,20%,20%,0%,5.9,6,4,1,,0,0,98607,0,19,0,,0,181,0,,31,30,45,0,0,0,50,545,200,0,,67,136,38055,38055,37340,37340,,,1054,2108,210,200,21,0,8,0,3,3,91,98607,98607,0,0,0.00%
161252504,derzhatel_dushV,Актив,714,294,"ООО ""ОПТСЕРВИС""",Держатели для ванной,0,2110,41%,0,,1428,486,-229,31%,10%,464,-251,0,7%,42%,-7%,2.4,0,0,0,,0,0,2110,36,0,500,,0,0,15,,15,999,108,108,999,30,75,59,136,0,2,65,61,10593,10820,20922,21370,10,,724,1448,301,138,24,62,8,66,0,0,93,31415,,,,0.00%
163766117,stailer_strazV,Неликвид,500,26,"ООО ""ОПТСЕРВИС""",Стразы,7309,11448,5%,0,0%,1000,642,141,4%,1%,,-501,,5%,5%,0%,0.5,1,1,2,,0,0,11448,39,0,60,,0,0,83,,81,39,59,59,39,32,27,294,85,0,1,65,11,1008,1008,364,364,,,500,1000,26,85,21,0,8,0,1,1,94,29060,,,,0.00%
163145019,ovocherezV,Неликвид,310,46,"ООО ""ОПТСЕРВИС""",Овощерезки ручные,6492,9182,15%,97,31%,620,307,-4,-4%,19%,291,-20,0,21%,19%,-21%,0.8,1,1,1,,0,0,9182,6,50,0,,0,79,7,,101,85,85,6,6,6,82,108,59,0,,64,27,3944,5321,1155,1559,20,,330,660,63,63,24,0,8,0,1,1,95,9182,,,,0.00%
164170625,kovrikplayzh_sinV,Актив/Лето (только лето) / Сезонные,839,124,"ООО ""ОПТСЕРВИС""",Коврики пляжные,0,28766,15%,150,18%,1678,925,85,19%,-5%,873,33,0,-7%,15%,-10%,4.1,1,1,0,,0,0,28766,89,0,100,,0,0,22,,22,89,89,89,89,82,72,323,143,0,2,68,111,11024,11024,15124,15124,,,839,1678,124,143,21,72,8,78,2,2,88,61087,0,28766,150,4.39%
163556769,venchikV,Актив/Новинки,303,18,"ООО ""ОПТСЕРВИС""",Венчики,7029,7121,6%,22,7%,606,259,-45,-4%,10%,246,-58,0,8%,6%,-8%,0.0,1,1,25,,0,0,7121,44,0,0,,0,49,1100,,1860,93,93,44,44,44,72,77,58,0,,64,1,1652,1652,21,21,,,303,606,18,58,24,26,8,28,0,0,95,7121,3752,3369,22,181.51%
167096204,penal_hallyV,Актив/Осень / Сезонные,510,99,"ООО ""ОПТСЕРВИС""",Пеналы,50411,65650,19%,173,8%,1020,374,-137,2%,17%,,-511,,19%,19%,0%,3.4,4,4,1,,0,0,65650,13,100,0,,0,429,4,,129,111,111,3,3,0,30,149,77,0,2,64,64,43903,43903,10191,10191,,,510,1020,99,77,21,44,8,47,1,1,95,65650,,,,0.00%
161572384,shlifovaniya_mashinkaV,Актив,3155,368,"ООО ""ОПТСЕРВИС""",Шлифовальные машины,146193,234341,12%,302,5%,6310,2899,-257,6%,5%,,-3156,,12%,12%,0%,1.6,2,1,1,,0,0,234341,26,0,100,,0,104,16,,79,65,98,20,13,18,93,1803,316,0,0,66,51,47779,47779,17972,17972,,,3155,6310,368,316,21,272,8,293,9,9,92,414604,187473,46868,302,5.87%
162223097,multi_metrV,Неликвид,382,20,"ООО ""ОПТСЕРВИС""",Мультиметры,25439,27174,5%,0,,764,383,0,-13%,18%,,-383,,5%,5%,0%,0.3,0,1,0,,0,0,27174,26,0,0,,0,115,87,,455,999,212,39,999,26,82,193,73,0,,64,8,2804,2804,179,179,,,382,764,20,73,24,0,8,0,1,1,96,27174,22163,5011,0,0.00%
163744832,karandashi_naborV,Актив/Осень / Сезонные,300,20,"ООО ""ОПТСЕРВИС""",Карандаши,16688,18236,7%,0,0%,600,271,-30,0%,6%,,-301,,7%,7%,0%,0.6,1,1,2,,0,0,18236,28,0,0,,0,184,47,,348,212,159,21,28,27,82,86,45,0,1,63,18,4200,4200,357,357,,,300,600,20,45,24,26,8,28,0,0,97,18236,15828,2409,0,0.00%
161792712,penal_kismonavtV,Неликвид,308,42,"ООО ""ОПТСЕРВИС""",Пеналы,0,11910,14%,53,2%,616,284,-25,-10%,24%,,-309,,14%,14%,0%,4.2,7,4,2,,0,0,11910,95,0,0,,0,0,23,,22,14,26,26,14,57,75,125,46,0,2,64,122,4016,4016,5352,5352,,,308,616,42,46,21,0,8,0,1,1,95,11910,0,11910,53,4.08%
161267634,igly_shveyV,Актив,345,52,"ООО ""ОПТСЕРВИС""",Иглы для швейных машин,7272,13306,15%,76,22%,690,306,-40,9%,6%,,-346,,15%,15%,0%,2.6,1,1,0,,0,0,13306,59,0,220,,0,115,22,,66,174,174,59,59,59,50,76,59,0,0,64,59,8981,8981,4073,4073,,,345,690,52,59,24,30,8,32,0,0,95,30129,8794,4512,76,8.38%
163344028,penal_kletchatV,Актив/Осень / Сезонные,338,45,"ООО ""ОПТСЕРВИС""",Пеналы,12684,16690,13%,0,0%,676,275,-64,1%,12%,,-339,,13%,13%,0%,1.5,1,1,1,,0,0,16690,190,0,0,,0,0,125,,124,190,143,143,190,79,75,88,51,0,2,64,28,8538,8538,2049,2049,,,338,676,45,51,21,29,8,31,0,0,95,16690,,,,0.00%
163179031,penalEnotikV,Неликвид,283,18,"ООО ""СИМАМАРТ""",Пеналы,10263,13453,6%,0,,566,284,0,-11%,18%,,-284,,6%,6%,0%,0.8,0,0,0,,0,0,13453,105,0,0,,0,0,127,,125,999,315,315,999,42,30,128,42,0,2,64,21,1917,1917,454,454,,,283,566,18,42,21,0,8,0,1,1,95,13453,0,13453,0,0.00%
161685829,penal_pushistV,Актив/Осень / Сезонные,301,34,"ООО ""ОПТСЕРВИС""",Пеналы,7693,11466,11%,0,0%,602,237,-65,-4%,15%,,-302,,11%,11%,0%,1.7,1,1,1,,0,0,11466,155,0,0,,0,0,91,,91,155,116,116,155,88,75,74,45,0,1,64,56,5278,5278,1737,1737,,,301,602,34,45,21,26,8,28,0,0,95,11466,,,,0.00%
161266279,shtativV,Актив/Новинки,1268,158,"ООО ""ОПТСЕРВИС""",Штативы для съемки,111931,125567,12%,31,1%,2536,1050,-219,2%,11%,,-1269,,12%,12%,0%,0.8,3,2,4,,0,0,125567,6,50,0,,0,215,8,,273,74,133,4,2,6,82,568,216,0,5,67,27,34873,34873,3787,3787,,,1268,2536,158,216,21,109,8,118,3,3,90,125567,122158,3409,31,3.06%
163143550,podstavka_lotosV,Актив,334,65,"ООО ""ОПТСЕРВИС""",Подставки для благовоний,0,5798,19%,131,39%,668,274,-61,10%,10%,260,-75,0,7%,19%,-7%,4.5,1,1,0,,0,0,5798,89,0,150,,0,25,20,,25,114,171,134,89,55,75,51,63,0,1,66,91,7357,7357,8713,8713,,,334,668,65,63,21,29,8,31,0,0,92,13427,1272,4527,131,8.72%
163756863,pila_skladnayaV,Неликвид,379,37,"ООО ""ОПТСЕРВИС""",Пилы ручные,37664,41713,10%,5,1%,758,389,9,-6%,16%,,-380,,10%,10%,0%,0.8,2,1,3,,0,0,41713,11,0,0,,0,227,14,,305,119,179,8,6,11,82,175,72,0,0,65,23,8844,8844,858,858,,,379,758,37,72,21,0,8,0,1,1,94,41713,,,,0.00%
161696706,penal_sobachkaV,Актив/Осень / Сезонные,471,93,"ООО ""ОПТСЕРВИС""",Пеналы,25881,48285,20%,0,0%,942,332,-140,0%,20%,,-472,,20%,20%,0%,5.8,3,2,1,,0,0,48285,102,0,200,,0,273,18,,65,125,188,51,34,4,75,129,71,0,3,64,163,34888,34888,16188,16188,,,471,942,93,71,21,41,8,44,1,1,95,74037,35152,13134,0,0.00%
